31_1	 What is throat cancer?
68_5	Describe the traditional process for making balsamic vinegar? What is mortadella in Emilia-Romagna and where is it from?
68_6	What is mortadella and where is it from? What’s the difference between mortadella and Bologna?
68_7	What’s the difference with Bologna? Where was Parmesan cheese created in Emilia-Romagna?
68_8	Where was Parmesan cheese created? What is done with Parmesan cheese after production in Emilia-Romagna?
68_9	What is done with the whey after production? What are typical pasta dishes in Emilia-Romagna?
68_10	What are typical pasta dishes? What is the history of tagliatelle al ragu bolognese in Emilia-Romagna?
68_11	What is the history of tagliatelle al ragu bolognese? What are Parmesan cheese's common variations?
69_1	 How do you sleep after jet lag?
69_2	How do you sleep after jet lag? Does Melatonin help sleep after jet lag?
69_3	Does melatonin help? How was Melatonin's sleep after jet lag discovered?
69_4	How was it discovered? What are good sources of food?
69_5	What are good sources in food? Is melatonin bad for you?
69_6	Is melatonin bad for you? What are Melatonin's side effects?
69_7	What are the side effects? Why does Melatonin require a prescription in the UK?
69_8	Why does it require a prescription in the UK? How can I increase my levels naturally in relation to Melatonin?
69_9	How can I increase my levels naturally? Is Melatonin effective for treating insomnia?
69_10	Is it effective for treating insomnia? Are Melatonin effective for anxiety?
75_1	 Why do turkey and Turkey share the same name?
75_2	Why do turkey and Turkey share the same name? Where are turkeys from?
75_3	Where are turkeys from? What was turkeys' importance in native cultures?
75_4	What was their importance in native cultures? When and how were turkeys domesticated?
75_5	When and how were they domesticated? Can turkeys fly?
75_6	Can they fly? Why did Ben Franklin want turkeys to be the national symbol?
75_8	 Why is turkeys eaten on Thanksgiving?
77_1	 What's the difference between soup and stew?
77_2	What's the difference between soup and stew? Is chilli a stew?
77_3	Is chilli a stew? Is goulash a soup?
77_4	How about goulash? What are popular soups in France?
77_5	What are popular ones in France? How is cassoulet made?
77_6	How is cassoulet made? Tell me about feijoada and its significance.
77_7	Tell me about feijoada and its significance. How is France's feijoada similar or different from cassoulet?
77_8	How is it similar or different from cassoulet? Tell about France's Bigos stew.
78_1	 What is the keto diet?
78_2	What is the keto diet? Why was the keto diet original developed?
78_3	Why was it original developed? What is ketosis?
78_4	What is ketosis? What is paleo?
78_5	What is paleo? What do paleo have in common?
78_6	What do they have in common? How are paleo different from other foods?
78_7	How are they different? What is intermittent fasting?
78_8	What is intermittent fasting? How is intermittent fasting related to keto?
79_1	 What is taught in sociology?
79_2	What is taught in sociology? What is the main contribution of Auguste Comte?
79_3	What is the main contribution of Auguste Comte? What is the role of positivism in Auguste Comte?
79_4	What is the role of positivism in it? What is Herbert Spencer known for?
79_5	What is Herbert Spencer known for? How is Herbert Spencer's work related to Auguste Comte?
79_6	How is his work related to Comte? What is the functionalist theory?
79_7	What is the functionalist theory? What is Herbert Spencer's main criticism?
79_8	What is its main criticism? How does Herbert Spencer's criticism compare to conflict theory?
79_9	How does it compare to conflict theory? What are modern examples of conflict theory?
