31_1	 What is throat cancer?
68_7	What’s the difference with Bologna? Where was Parmesan cheese created?
68_8	Where was Parmesan cheese created? What is done with the whey after production?
68_9	What is done with the whey after production? What are typical pasta dishes for balsamic vinegar?
68_10	What are typical pasta dishes? What is the history of tagliatelle al ragu bolognes
68_11	What is the history of tagliatelle al ragu bolognese? What are the common variations of tagliatelle al ragu bologne
69_1	 How do you sleep after jet lag?
69_2	How do you sleep after jet lag? Does melatonin help you sleep after jet lag?
69_3	Does melatonin help? How was melatonin discovered?
69_4	How was it discovered? What are good sources of melatonin in food?
69_5	What are good sources in food? Is melatonin bad for you?
69_6	Is melatonin bad for you? What are the side effects of melatonin?
69_7	What are the side effects? Why does melatonin require a prescription in the UK?
69_8	Why does it require a prescription in the UK? How can I increase my levels naturally?
69_9	How can I increase my levels naturally? Is melatonin effective for treating insomnia?
69_10	Is it effective for treating insomnia? Is melatonin effective for anxiety?
75_1	 Why do Turkey and Turkey share the same name?
75_2	Why do turkey and Turkey share the same name? Where are turkeys from?
75_3	Where are turkeys from? What was Turkey's importance in native cultures?
75_4	What was their importance in native cultures? When and how were turkeys domesticated?
75_5	When and how were they domesticated? Can turkeys fly?
75_6	Can they fly? Why did Ben Franklin want turkey to be the national symbol?
75_8	 Why is turkey eaten on Thanksgiving?
77_1	 What's the difference between soup and stew?
77_2	What's the difference between soup and stew? Is chilli a stew?
77_3	Is chilli a stew? What is the difference between soup and stew?
77_4	How about goulash? What are popular ones in France?
77_5	What are popular ones in France? How is cassoulet made?
77_6	How is cassoulet made? Tell me about feijoada and its significance.
77_7	Tell me about feijoada and its significance. How is feijoada similar or different from cassoulet?
77_8	How is it similar or different from cassoulet? Tell about Bigos stew.
78_1	 What is the keto diet?
78_2	What is the keto diet? Why was the keto diet original developed?
78_3	Why was it original developed? What is ketosis?
78_4	What is ketosis? What is paleo?
78_5	What is paleo? What do the ketosis have in common?
78_6	What do they have in common? How are the ketosis different?
78_7	How are they different? What is intermittent fasting?
78_8	What is intermittent fasting? How is intermittent fasting related to keto?
79_1	 What is taught in sociology?
79_2	What is taught in sociology? What is the main contribution of Auguste Comte?
79_3	What is the main contribution of Auguste Comte? What is the role of positivism in Auguste Comte?
79_4	What is the role of positivism in it? What is Herbert Spencer known for?
79_5	What is Herbert Spencer known for? How is Augustus Pugin's work related to Comte? s
79_6	How is his work related to Comte? What is the functionalist theory of Augustus Pugin?
79_7	What is the functionalist theory? What is Herbert Spencer's main criticism?
79_8	What is its main criticism? How does Herbert Spencer's work compare to conflict theory?
79_9	How does it compare to conflict theory? What are modern examples of conflict theory?
