31_1	 What is throat cancer?
61_3	Who are The Avengers? Who is the most powerful and why?
61_4	Who are The Avengers? What is the relationship of Spider-Man to The Avengers?
61_5	Who are The Avengers? Why is Batman not a member of The Avengers?
61_6	Who are The Avengers? What is an important team in the DC universe?
61_7	Who are The Avengers? Tell me about the origins of the Justice League and Avengers?
61_8	Who are The Avengers? Who are the important members of the Justice League and Avengers?
67_1	 Why is blood red?
67_2	Why is blood red? What are red blood cells?
67_3	Why is blood red? How are red blood cells created?
67_4	Why is blood red? How is oxygen transported?
67_5	Why is blood red? What is anemia in relation to blood cells?
67_6	Why is blood red? What are the symptoms of red blood cells?
67_7	Why is blood red? Can the red blood cells go away?
67_8	Why is blood red? What are red blood cells' possible causes?
67_9	Why is blood red? How is red blood cells treated?
67_10	Why is blood red? What foods contain high levels of iron?
67_11	Why is blood red? What improves absorption?
68_1	 What is cuisine is Emilia-Romagna famous for?
68_2	What is cuisine is Emilia-Romagna famous for? Tell me about cooking schools and classes for Emilia-Romagna.
68_3	What is cuisine is Emilia-Romagna famous for? What are famous foods from Emilia-Romagna?
68_4	What is cuisine is Emilia-Romagna famous for? Describe the traditional process for making balsamic vinegar in Emilia-Romagna?
68_5	What is cuisine is Emilia-Romagna famous for? What is mortadella in Emilia-Romagna and where is it from?
68_6	What is cuisine is Emilia-Romagna famous for? What’s the difference between mortadella and Bologna?
68_7	What is cuisine is Emilia-Romagna famous for? Where was Parmesan cheese created in Emilia-Romagna?
68_8	What is cuisine is Emilia-Romagna famous for? What is done with Parmesan cheese after production in Emilia-Romagna?
68_9	What is cuisine is Emilia-Romagna famous for? What are typical pasta dishes in Emilia-Romagna?
68_10	What is cuisine is Emilia-Romagna famous for? What is the history of tagliatelle al ragu bolognese in Emilia-Romagna?
68_11	What is cuisine is Emilia-Romagna famous for? What are Parmesan cheese's common variations?
69_1	 How do you sleep after jet lag?
69_2	How do you sleep after jet lag? Does Melatonin help sleep after jet lag?
69_3	How do you sleep after jet lag? How was Melatonin's sleep after jet lag discovered?
69_4	How do you sleep after jet lag? What are good sources of food?
69_5	How do you sleep after jet lag? Is melatonin bad for you?
69_6	How do you sleep after jet lag? What are Melatonin's side effects?
69_7	How do you sleep after jet lag? Why does Melatonin require a prescription in the UK?
69_8	How do you sleep after jet lag? How can I increase my levels naturally in relation to Melatonin?
69_9	How do you sleep after jet lag? Is Melatonin effective for treating insomnia?
69_10	How do you sleep after jet lag? Are Melatonin effective for anxiety?
75_1	 Why do turkey and Turkey share the same name?
75_2	Why do turkey and Turkey share the same name? Where are turkeys from?
75_3	Why do turkey and Turkey share the same name? What was turkeys' importance in native cultures?
75_4	Why do turkey and Turkey share the same name? When and how were turkeys domesticated?
75_5	Why do turkey and Turkey share the same name? Can turkeys fly?
75_6	Why do turkey and Turkey share the same name? Why did Ben Franklin want turkeys to be the national symbol?
75_8	Why do turkey and Turkey share the same name? Why is turkeys eaten on Thanksgiving?
77_1	 What's the difference between soup and stew?
77_2	What's the difference between soup and stew? Is chilli a stew?
77_3	What's the difference between soup and stew? Is goulash a soup?
77_4	What's the difference between soup and stew? What are popular soups in France?
77_5	What's the difference between soup and stew? How is cassoulet made?
77_6	What's the difference between soup and stew? Tell me about feijoada and its significance.
77_7	What's the difference between soup and stew? How is France's feijoada similar or different from cassoulet?
77_8	What's the difference between soup and stew? Tell about France's Bigos stew.
78_1	 What is the keto diet?
78_2	What is the keto diet? Why was the keto diet original developed?
78_3	What is the keto diet? What is ketosis?
78_4	What is the keto diet? What is paleo?
78_5	What is the keto diet? What do paleo have in common?
78_6	What is the keto diet? How are paleo different from other foods?
78_7	What is the keto diet? What is intermittent fasting?
78_8	What is the keto diet? How is intermittent fasting related to keto?
79_1	 What is taught in sociology?
79_2	What is taught in sociology? What is the main contribution of Auguste Comte?
79_3	What is taught in sociology? What is the role of positivism in Auguste Comte?
79_4	What is taught in sociology? What is Herbert Spencer known for?
79_5	What is taught in sociology? How is Herbert Spencer's work related to Auguste Comte?
79_6	What is taught in sociology? What is the functionalist theory?
79_7	What is taught in sociology? What is Herbert Spencer's main criticism?
79_8	What is taught in sociology? How does Herbert Spencer's criticism compare to conflict theory?
79_9	What is taught in sociology? What are modern examples of conflict theory?
